Label,Text
1,"Subject: Interview Success – UI/UX Designer at Atlassian

Jordan Brown,

We’d like to formally offer you the UI/UX Designer position at Atlassian.

You passed the process, and we’re ready to bring you on board. Our hiring managers had nothing but positive feedback!

Sincerely,

Liam Nguyen
Atlassian Team"
0,"Subject: Interview Outcome – Atlassian

Dear Casey Lee,

Although your background is strong, we’ve chosen to move forward with other candidates for the Product Manager role.
Please stay connected with us for future opportunities.

Warm regards,

Jordan Kim
Atlassian Talent Acquisition"
0,"Subject: Interview Outcome – Atlassian

Dear Taylor Lee,

Although your background is strong, we’ve chosen to move forward with other candidates for the Frontend Developer role.
Please stay connected with us for future opportunities.

Warm regards,

Mia Robinson
Atlassian Talent Acquisition"
0,"Subject: Interview Decision – Data Analyst at Adobe

Hi Alex Smith,

We enjoyed speaking with you but will not be offering you the position of Data Analyst at this time.
We appreciate your time and wish you well in your career journey.

Kindly,

Amanda Lee
Adobe People Operations"
0,"Your application to Data Analyst at Ayima
͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ 
 
Michael Gary Scott
Your update from Ayima
Ayima 
Data Analyst
Ayima · Toronto, Ontario, Canada
Applied on Apr 5
Thank you for your interest in the Data Analyst position at Ayima in Toronto, Ontario, Canada. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Ayima.
Regards,
Ayima"
0,"Subject: Interview Outcome – Data Analyst at Meta

Dear Taylor Brown,

This is to notify you that your application for the Data Analyst role was not successful.
We thank you for your time and wish you all the best.

Kindly,

Amanda Lee
Meta Application Review Team"
1,"Subject: Interview Success – Data Analyst at Atlassian

Dear Morgan Smith,

You’re in! The role of Data Analyst at Atlassian is yours.

Next steps will include your offer package and our onboarding guide.

Sincerely,

Liam Nguyen
Atlassian Onboarding Desk"
1,"Subject: Interview Success – AI Researcher at Atlassian

Taylor Johnson,

We’d like to formally offer you the AI Researcher position at Atlassian.

You passed the process, and we’re ready to bring you on board. Our hiring managers had nothing but positive feedback!

Sincerely,

Amanda Lee
Atlassian Team"
0,"Subject: Interview Decision – DevOps Engineer at Meta

Hello Taylor Walker,

Unfortunately, we’ve chosen to move forward with other applicants at this time. Your interview for DevOps Engineer at Meta was appreciated.

Cheers,

Liam Nguyen
Meta Recruitment"
1,"Subject: Interview Success – AI Researcher at IBM

Dear Taylor Smith,

Great news! Good news!

You're joining us as our next AI Researcher at IBM.
We loved your enthusiasm and professionalism throughout the process.

Expect onboarding details from HR within the week.

Best regards,

Emily Thompson
Recruitment Office – IBM"
1,"Subject: Interview Success – Product Manager at Atlassian

Dear Alex Lee,

You’re in! The role of Product Manager at Atlassian is yours.

Next steps will include your offer package and our onboarding guide.

Sincerely,

David Chen
Atlassian Onboarding Desk"
1,"Subject: Interview Success – AI Researcher at Adobe

Dear Casey Lee,

Great news! Good news!

You're joining us as our next AI Researcher at Adobe.
We loved your enthusiasm and professionalism throughout the process.

Expect onboarding details from HR within the week.

Kindly,

Amanda Lee
Recruitment Office – Adobe"
0,"Subject: Recruitment Update – Meta

Hello Taylor Lee,

We truly appreciate your interest in joining Meta as a Data Analyst.
After thorough evaluation, we will not be extending an offer at this time.
We wish you all the best in your career journey.

Warm regards,

Jordan Kim
People & Culture – Meta"
1,"Subject: Interview Success – AI Researcher at Amazon

Morgan Johnson,

We’d like to formally offer you the AI Researcher position at Amazon.

You passed the process, and we’re ready to bring you on board. Our hiring managers had nothing but positive feedback!

Best regards,

Liam Nguyen
Amazon Team"
1,"Subject: Interview Success – Product Manager at Meta

Morgan Brown,

We’d like to formally offer you the Product Manager position at Meta.

You passed the process, and we’re ready to bring you on board. Our hiring managers had nothing but positive feedback!

Kindly,

Emily Thompson
Meta Team"
1,"Subject: Interview Success – AI Researcher at Oracle

Hi Alex Johnson,

After a detailed evaluation process, you’ve emerged as the final candidate for the AI Researcher role at Oracle.
We’re thrilled to extend you a job offer. Additional steps and your contract will follow shortly.

Cheers,

Liam Nguyen
Oracle Hiring Team"
1,"Subject: Interview Success – Product Manager at IBM

Hi Casey Smith,

You’ve passed every interview round and impressed each of our panel members. We’d be honored to welcome you as a Product Manager at IBM.

Let’s get started! You’ll be receiving your onboarding steps within the next 48 hours.

Warm regards,

Emily Thompson
People & Culture – IBM"
1,"Subject: Interview Success – Software Engineer at Microsoft

Dear Casey Smith,

Great news! Good news!

You're joining us as our next Software Engineer at Microsoft.
We loved your enthusiasm and professionalism throughout the process.

Expect onboarding details from HR within the week.

Warm regards,

Emily Thompson
Recruitment Office – Microsoft"
1,"Subject: Interview Success – Data Analyst at Google

Morgan Brown,

We’d like to formally offer you the Data Analyst position at Google.

You passed the process, and we’re ready to bring you on board. Our hiring managers had nothing but positive feedback!

Cheers,

David Chen
Google Team"
1,"Subject: Interview Success – DevOps Engineer at Adobe

Dear Alex Smith,

Great news! Good news!

You're joining us as our next DevOps Engineer at Adobe.
We loved your enthusiasm and professionalism throughout the process.

Expect onboarding details from HR within the week.

Sincerely,

David Chen
Recruitment Office – Adobe"
1,"Subject: Interview Success – Product Manager at Atlassian

Hi Taylor Brown,

You’ve passed every interview round and impressed each of our panel members. We’d be honored to welcome you as a Product Manager at Atlassian.

Let’s get started! You’ll be receiving your onboarding steps within the next 48 hours.

Kindly,

Sophie Patel
People & Culture – Atlassian"
0,"Subject: Interview Decision – Data Analyst at Adobe

Dear Jordan Walker,

After completing our review, we regret to inform you that we won’t be proceeding with your candidacy.
Thank you for the effort you put into the process.

Kindly,

David Chen
Careers Team – Adobe"
